shop_name,business_type,owner_name,phone,email,address,city,business_hours,url,domain,site_type,score,grade,reasons
ameblo,スピリチュアル,,00826155596,,,東京都,,https://ameblo.jp/cellolin-counselor/,ameblo.jp,ameblo,80,A,ameblo; no_pricing; no_booking; no_access; no_profile
appuyer,不明,,,,カウンセリング 江東区 | 江東区のカウンセリングルームを掲載 | 森のこかげ 全国のカウンセリング施設 一覧 江東区のカウンセリングルーム 東京都江東区のカウンセリングルーム,江東区,,https://www.appuyer.jp/counselingRoom/kooto.html,www.appuyer.jp,jimdo,70,A,jimdo; no_pricing; no_booking; no_access
五和貴江東クリニック カウンセリング・精神保健福祉相談,鍼灸,,03-3614-5091,,東京都江東区亀戸6-42-13 Clinic 五和貴江東クリニック Services 診療内容 Re,墨田区,,http://kouwakai-iwaki.tokyo/koutou-counseling/,kouwakai-iwaki.tokyo,wordpress,65,A,wordpress; http_only; no_profile
東京都のレンタルサロン,エステ,セラピストガーデン,,,セラピストガーデン All Rights Reserved. Designed by 癒しサロンのホ,千代田区,,https://atmark-salon.com/theragarden/tokyo/,atmark-salon.com,wordpress,60,A,wordpress; no_pricing; no_booking
My Site,不明,精神科医が講師を務め る,00-8487-6366,koishikawa.atelier@gmail.com,山 瑞季 2017年東邦大学医学部卒業、東京都立松沢病院にて初期研修、精神科後期研修を修了。精神科専門医。 ​ ​現在はクリニックや大学にて治療や相談業務を行っているほか、陶芸、創作人形、ミニチュアな,文京区,,https://www.koishikawa-atelier.com/,www.koishikawa-atelier.com,wix,60,A,wix; no_booking; no_access
文京区にある女教師が通う整体セラピー治療院17,整体,,,,文京区にある女教師が通う整体セラピー治療院17 – パンツウォーカー 公認無料アダルト動画 ホーム 動画メニュー FANZA MGS KMP 単品素人 ジャンル,港区,,https://pantswalker.net/video/dm2192/,pantswalker.net,wordpress,60,A,wordpress; no_booking; no_access
ベンナビ離婚（旧：離婚弁護士ナビ）,不明,,03-6279-4581,,島市 北九州市 福岡市 熊本市 文京区 千代田区 新宿区 港区 中央区 渋谷区 目黒区 豊島区 葛飾区 練馬区 北区 世田谷区 大田区 杉並区 品川区 荒川区 台東区 中野区 足立区 江東区 離婚前相,千代田区,,https://ricon-pro.com/columns/507/,ricon-pro.com,wordpress,60,A,wordpress; no_booking; no_access
出張&ルームサロン24,エステ,はお客様にそう思って いただけるような素敵,090-8196-9324,,-9324 Home Menu Therapist Reserve Recruit Copyrigh,千代田区,,https://tokyo-massage24.com/,tokyo-massage24.com,wordpress,60,A,wordpress; no_booking; no_access
Omnis,不明,,03-4400-4343,info@omnis.tokyo,文京区千駄木3-45-10 info@omnis.tokyo 03-4400-4343 <月・​ 木,文京区,,https://www.omnis.tokyo/,www.omnis.tokyo,wix,60,A,wix; no_booking; no_access
Healing room Kuanyin くつろぎ鍼灸院,整体,,,k.kuturogi@gmail.com,東京都文京区本郷1丁目 e-mail : k.kuturogi@gmail.com HOME はじめ,文京区,,http://kuturogikuanyin.com/,kuturogikuanyin.com,ameblo,55,B,ameblo; http_only
和田秀樹カウンセリングルーム,不明,,036-5516-6104,intl-segmenter@11.7.10,nu items. ​​アクセス 東京都文京区本郷３丁目２１−１２ RTビル地下1階 （和田秀樹こころと体のクリニック内） ■JR中央線 御茶ノ水駅 御茶ノ水橋口より徒歩8分 ■地下鉄丸ノ内線 本郷三,文京区,,https://www.wadacounseling.com/access,www.wadacounseling.com,wix,55,B,wix; sns_redirect
欅セラピールーム,鍼灸,,,,,,,http://keyakitherapy.com/,keyakitherapy.com,wordpress,55,B,wordpress; http_only
スウェディッシュマッサージのFLOWボディセラピースクール,エステ,一般社団法人スウェデ ィッシュ,080-1234-5678,flow@bflow.jp,増えました （３０代・アロマセラピスト・東京都） 私の 身体の使い方がまず変わりました 。手を酷使して痛めることがないように、腰や首に負担が極力かからないようにご指導頂いたこ とで、 施術中に集中力が,中央区,,https://peraichi.com/landing_pages/view/flowbody,peraichi.com,peraichi,50,B,peraichi; no_access
東京都文京区での心理カウンセリング・悩み相談なら「こころのけあ」,不明,,0128731686,,2025年10月18日 認知行動療法の効果と科学的根拠について 2025年10月05日 【金・土・月,文京区,,https://tokyo.kokoronocare.co/,tokyo.kokoronocare.co,wordpress,50,B,wordpress; no_pricing
iEFT Japan：エモーション・フォーカスト・セラピー研究所＆カウンセリングサービス 東京,不明,,00480769230,contact@ieft.jp,東京都文京区小石川5-17-9 エコーハイツ102 ［最寄駅からのアクセス］ 丸ノ内線 茗荷谷駅から,文京区,,https://www.ieft.jp/access/,www.ieft.jp,jimdo,50,B,jimdo; no_pricing
護国寺 こころの森相談室 | PTSD 鬱病 発達などの悩みご相談ください カウンセリング,不明,,0813777507,,東京都文京区大塚2－12－1 テラス護国寺103号 （護国寺駅から徒歩5分） 電話番号 03－690,文京区,,https://www.cocoro-mori.net/about,www.cocoro-mori.net,wordpress,50,B,wordpress; no_pricing
dango-kokoro,不明,,0437316862,yakuhanjp@4.1.1,東西めぐりん：台東区循環バス／Bーぐる：文京区コミュニティバス ※ 当カウンセリングルームでは、ご来談者の方に安心してお話いただく為、ご予約確定後に所在地をご案内しております。 ※ 自転車・ベビーカー,文京区,,https://dango-kokoro.com/,dango-kokoro.com,note,50,B,note; no_profile
全国バーベキュー場検索サイト デジキュー,不明,,050-5369-6233,swiper@8.4.7,東京都 江東区 豊洲6-5-27 【新年会プラン】 ■20名以上の団体様は、全日4時間飲み放題・食材,江東区,12:00-16:00,https://digiq.jp/portal/location/74007,digiq.jp,thebase,50,B,thebase; no_profile
湯島駅・御徒町駅からのアクセスも抜群、口コミ多数の話題のタイ古式マッサージ パントン,整体,本場のタイ古式マッサ ージの効果は冷え性や,03-5818-5340,intl-segmenter@11.7.10,090-2744-8260 (店長) ​ 住所 〒113-0034 東京都文京区湯島3-37-4 ガ,文京区,,https://www.panthong-massage.com/,www.panthong-massage.com,wix,40,B,wix
himawari-therapy,スピリチュアル,,02-10-1500,info@himawari-therapy.com,ラピールーム ひまわり 所在地： 東京都文京区向丘 サロン・ド・ソフィア内 代 表： 大貫 めぐみ 連絡先： info@himawari-therapy.com サービス内容： 心理カウンセリング・E,文京区,,https://himawari-therapy.com/data/,himawari-therapy.com,wordpress,40,B,wordpress
